x_mm,y_mm
203.7,8.6
154.2,7.1
151.2,34.1
111.7,33.6
109.2,52.1
76.2,52.1
76.2,25.1
73.2,22.6
32.7,25.1
29.7,31.1
28.2,74.6
52.2,74.1
53.7,88.1
49.2,92.6
26.7,92.6
24.7,128.6
27.2,134.6
98.2,133.6
112.2,112.6
139.2,113.6
140.7,116.6
139.7,137.6
142.2,143.6
160.2,143.6
164.7,139.1
166.2,82.1
153.2,74.6
154.7,56.6
190.2,56.6
191.2,41.6
220.2,41.6
221.7,94.1
230.7,98.6
229.2,122.6
196.2,124.1
194.7,167.6
188.7,178.1
187.2,193.1
157.2,176.6
156.2,167.6
149.7,165.6
131.7,165.6
125.2,168.6
113.2,181.1
112.2,193.1
74.7,191.1
68.7,188.6
58.2,176.6
49.2,173.6
31.2,173.1
28.2,175.1
28.7,179.6
