x_mm,y_mm
206.6,8.3
156.6,6.3
157.1,33.8
113.6,33.8
113.6,45.8
107.6,53.3
83.6,53.3
74.6,50.3
76.1,23.3
73.1,21.8
29.1,23.8
26.6,32.3
25.1,71.3
27.6,77.3
52.1,75.3
53.6,90.8
52.1,93.8
22.6,95.3
22.6,137.3
95.6,140.3
101.6,137.3
113.6,116.3
142.1,116.3
145.1,118.3
144.6,147.8
169.1,146.3
170.6,83.3
169.1,80.3
157.1,78.8
158.6,57.8
190.1,59.3
196.1,54.8
196.1,42.8
199.1,40.3
226.1,42.3
228.1,99.8
238.1,102.8
236.6,119.3
232.1,126.8
202.1,126.8
200.6,164.3
198.1,177.8
192.1,185.3
191.1,198.3
188.6,200.3
163.1,185.3
158.6,171.8
128.6,173.3
116.1,184.3
112.1,200.3
77.6,198.8
68.6,195.8
58.1,183.8
49.1,179.3
31.1,178.3
25.1,180.8
25.1,186.8
